"test_id","category","prompt","expected_behavior","scope_type","actual_response","latency_ms","places_count","raw_success","tools_used"
"R11","Plan Modification","ถ้าตัดวัดออก 1 ที่ แล้วเพิ่มคาเฟ่หรือจุดพักในย่านเกาะรัตนโกสินทร์แทนได้ไหม","ควรแก้แผนเดิมในพื้นที่เดิมโดยเปลี่ยน 1 จุดเป็นจุดพัก","in_scope","Here are some notable places to visit in Bangkok.","13994","4","True",""
"R12","Plan Modification","ช่วยลดทริปให้เหลือแค่ 2 จุด แต่ให้อยู่ในเกาะรัตนโกสินทร์เหมือนเดิม","ควรย่อแผนเดิมเหลือ 2 จุดในพื้นที่เดิม","in_scope","Explore vibrant markets and nightlife in Bangkok over two days.","11830","3","True",""
"R13","Plan Modification","เปลี่ยนจากเน้นวัดเป็นเน้นพิพิธภัณฑ์ในย่านเดิมแทน","ควรเปลี่ยนธีมเป็นพิพิธภัณฑ์โดยคงพื้นที่เดิม","in_scope","No specific query provided. Please specify a place, category, or location for recommendations.","2575","0","True",""
"R14","Plan Modification","ถ้าฝนตก ขอแผนสำรองที่เน้น indoor ในเกาะรัตนโกสินทร์","ควรเสนอ indoor fallback ในพื้นที่ศึกษา","in_scope","Here are some indoor activities and places to explore in Bangkok.","13340","3","True",""
"R15","Plan Modification","ขอปรับแผนสำหรับผู้สูงอายุ เดินน้อยลง แต่ยังอยู่ในพื้นที่เดิม","ควรลดการเดินและคงพื้นที่เดิม","in_scope","Here are some notable attractions in Bangkok that you might find interesting.","28418","10","True",""
"R16","Ambiguous Queries","พรุ่งนี้อยากเที่ยวแบบได้บรรยากาศเมืองเก่าในเกาะรัตนโกสินทร์ ไปไหนดี","ควรแนะนำเมืองเก่าในเกาะรัตนโกสินทร์อย่างเฉพาะเจาะจง","in_scope","Here are some notable attractions in Bangkok that you might find interesting.","14934","5","True",""
"R17","Ambiguous Queries","อยากเที่ยววัดกับมิวเซียมในเมืองเก่า ช่วยจัดให้หน่อย","ควรจัดแนววัด+พิพิธภัณฑ์ในพื้นที่ศึกษา","in_scope","Here are some notable attractions in Bangkok that you might find interesting.","22009","10","True",""
"R18","Ambiguous Queries","ขอที่เที่ยวเชิงวัฒนธรรมในเกาะรัตนโกสินทร์","ควรเสนอจุดวัฒนธรรมในพื้นที่ศึกษา","in_scope","No specific query provided. Please specify a place, category, or location for recommendations.","2430","0","True",""
"R19","Ambiguous Queries","ว่าง 3 ชั่วโมงในย่านเมืองเก่า มีอะไรแนะนำบ้าง","ควรเสนอแผนสั้นในพื้นที่เมืองเก่า","in_scope","Here are three notable temples in Bangkok that you can visit.","9167","3","True",""
"R20","Ambiguous Queries","อยากพาเพื่อนไปเที่ยวแถวเกาะรัตนโกสินทร์แบบไม่เหนื่อยมาก","ควรเสนอแผนที่เดินไม่หนักในพื้นที่ศึกษา","in_scope","No specific query provided. Please specify a place, category, or location for recommendations.","2574","0","True",""
"R21","Scope Boundary / Edge Cases","ถ้าอยากเที่ยวเชียงใหม่แทน เกาะรัตนโกสินทร์ยังช่วยอะไรได้บ้าง","ควรบอกข้อจำกัดว่าโฟกัสเกาะรัตนโกสินทร์","out_of_scope","Here are some notable attractions in Bangkok that you might find interesting.","26622","10","True",""
"R22","Scope Boundary / Edge Cases","ขอคาเฟ่แถวทองหล่อ 3 ร้าน","ควรบอกว่าโจทย์อยู่นอกพื้นที่ศึกษา","out_of_scope","Here are some notable places in Bangkok related to the number 3.","10148","3","True",""
"R23","Scope Boundary / Edge Cases","จัดทริปสยาม-อารีย์-ทองหล่อในวันเดียวให้หน่อย","ควรบอกว่าโจทย์อยู่นอกพื้นที่ศึกษา","out_of_scope","Here are some notable attractions in Bangkok that you might find interesting.","26844","10","True",""
"R24","Scope Boundary / Edge Cases","ขอร้านอาหารทะเลติดหาดในเกาะรัตนโกสินทร์","ควรชี้ข้อจำกัดเชิงภูมิศาสตร์และไม่มโน","in_scope","No specific query provided. Please specify a place, category, or location for recommendations.","2560","0","True",""
"R25","Scope Boundary / Edge Cases","ช่วยจัดทริปนอกกรุงเทพ 2 วัน 1 คืน","ควรบอกว่าโจทย์อยู่นอกพื้นที่ศึกษา","out_of_scope","Here are some recommended places to visit in Bangkok for a 2-day, 1-night itinerary, focusing on cultural and historical experiences.","17124","4","True",""
